VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,2020-01-01 00:11:31,2020-01-01 00:15:34,2,.60,1,N,68,68,1,4.5,0.5,0.5,1.66,0,0.3,9.96,2.5
2,2020-01-01 00:32:20,2020-01-01 00:44:34,2,.38,1,N,249,45,2,8.5,0.5,0.5,0,0,0.3,12.3,2.5
1,2020-01-01 00:14:04,2020-01-01 00:40:02,2,3.30,1,N,231,170,2,17,3,0.5,0,0,0.3,20.8,2.5
1,2020-01-01 00:41:20,2020-01-01 00:44:37,1,.50,1,N,170,137,1,4,3,0.5,2.3,0,0.3,10.1,2.5
1,2020-01-01 00:49:50,2020-01-01 01:17:05,2,4.70,1,N,137,255,1,20.5,3,0.5,1.22,0,0.3,25.52,2.5
1,2020-01-01 00:18:42,2020-01-01 00:26:15,2,1.20,1,N,68,107,1,7,3,0.5,2.16,0,0.3,12.96,2.5
1,2020-01-01 00:49:15,2020-01-01 00:51:43,1,.40,1,Y,137,107,1,4,3,0.5,1.55,0,0.3,9.35,2.5
1,2020-01-01 00:55:56,2020-01-01 01:15:07,2,3.50,1,N,79,255,1,16,3,0.5,3,0,0.3,22.8,2.5
1,2020-01-01 00:14:46,2020-01-01 00:47:23,1,5.60,1,N,113,238,1,24,3,0.5,3,0,0.3,30.8,2.5
1,2020-01-01 00:53:36,2020-01-01 01:09:47,1,1.90,1,N,238,141,2,12,3,0.5,0,0,0.3,15.8,2.5
2,2020-01-01 00:17:57,2020-01-01 00:54:31,2,4.39,1,N,234,238,1,24,0.5,0.5,3,0,0.3,30.8,2.5
1,2020-01-01 00:36:37,2020-01-01 00:44:02,1,1.70,1,N,231,90,1,8,3,0.5,2.12,0,0.3,13.92,2.5
1,2020-01-01 00:54:48,2020-01-01 01:14:28,1,1.70,1,N,164,142,1,13,3,0.5,3.36,0,0.3,20.16,2.5
2,2020-01-01 00:38:08,2020-01-01 00:53:52,1,3.36,1,N,144,255,1,14,0.5,0.5,3.56,0,0.3,21.36,2.5
1,2020-01-01 00:31:06,2020-01-01 01:04:57,1,.00,1,N,166,211,1,26.2,0,0.5,0,0,0.3,27,0
1,2020-01-01 00:10:28,2020-01-01 00:25:45,2,2.00,1,N,161,68,1,11,3,0.5,2.95,0,0.3,17.75,2.5
1,2020-01-01 00:31:05,2020-01-01 00:51:40,2,1.00,1,N,246,68,1,13,3,0.5,4.2,0,0.3,21,2.5
1,2020-01-01 00:58:55,2020-01-01 01:29:16,1,2.70,1,N,90,163,1,18.5,3,0.5,2,0,0.3,24.3,2.5
2,2020-01-01 00:28:25,2020-01-01 00:31:01,3,.47,1,N,90,68,1,4,0.5,0.5,2.34,0,0.3,10.14,2.5
2,2020-01-01 00:32:03,2020-01-01 00:48:59,3,3.19,1,N,246,231,1,14,0.5,0.5,5.34,0,0.3,23.14,2.5
2,2020-01-01 00:50:31,2020-01-01 00:57:24,3,.81,1,N,209,148,1,6,0.5,0.5,1.96,0,0.3,11.76,2.5
2,2020-01-01 00:58:14,2020-01-01 01:07:16,3,1.55,1,N,148,87,1,8,0.5,0.5,2.36,0,0.3,14.16,2.5
1,2020-01-01 00:24:37,2020-01-01 00:45:38,1,3.50,1,N,43,48,1,16.5,3,0.5,4.05,0,0.3,24.35,2.5
1,2020-01-01 00:46:26,2020-01-01 01:25:41,1,11.80,1,N,48,67,1,38,3,0.5,9.55,6.12,0.3,57.47,2.5
2,2020-01-01 00:12:59,2020-01-01 00:33:03,3,4.13,1,N,239,170,2,16,0.5,0.5,0,0,0.3,19.8,2.5
2,2020-01-01 00:35:58,2020-01-01 00:46:55,1,2.26,1,N,170,263,1,10,0.5,0.5,2.76,0,0.3,16.56,2.5
2,2020-01-01 00:57:35,2020-01-01 01:20:41,3,2.25,1,N,237,50,1,15,0.5,0.5,3.76,0,0.3,22.56,2.5
2,2020-01-01 00:03:30,2020-01-01 00:15:17,4,1.72,1,N,114,158,1,9.5,0.5,0.5,2.66,0,0.3,15.96,2.5
2,2020-01-01 00:33:41,2020-01-01 00:37:24,1,.36,1,N,107,234,1,4,0.5,0.5,2.34,0,0.3,10.14,2.5
2,2020-01-01 00:47:39,2020-01-01 01:15:04,2,7.70,1,N,107,106,1,26.5,0.5,0.5,9.09,0,0.3,39.39,2.5
2,2020-01-01 00:12:04,2020-01-01 00:28:09,1,3.01,1,N,142,236,1,14,0.5,0.5,5.34,0,0.3,23.14,2.5
2,2020-01-01 00:37:30,2020-01-01 00:43:10,1,1.02,1,N,239,142,2,6.5,0.5,0.5,0,0,0.3,10.3,2.5
2,2020-01-01 00:44:18,2020-01-01 00:55:49,3,1.74,1,N,142,229,1,9,0.5,0.5,3.2,0,0.3,16,2.5
2,2020-01-01 00:33:28,2020-01-01 00:38:30,4,1.42,1,N,229,140,1,6.5,0.5,0.5,2.06,0,0.3,12.36,2.5
2,2020-01-01 00:40:50,2020-01-01 00:52:03,3,4.65,1,N,262,4,1,15,0.5,0.5,1,0,0.3,19.8,2.5
2,2020-01-01 00:55:08,2020-01-01 01:17:51,5,5.70,1,N,79,75,1,20,0.5,0.5,4.76,0,0.3,28.56,2.5
2,2020-01-01 00:07:41,2020-01-01 00:10:23,1,.65,1,N,140,262,2,4.5,0.5,0.5,0,0,0.3,8.3,2.5
2,2020-01-01 00:18:48,2020-01-01 00:38:14,1,2.96,1,N,262,143,1,14.5,0.5,0.5,4.58,0,0.3,22.88,2.5
2,2020-01-01 00:44:53,2020-01-01 00:51:24,1,2.05,1,N,142,24,1,8,0.5,0.5,2.36,0,0.3,14.16,2.5
2,2020-01-01 00:57:08,2020-01-01 01:01:33,1,.83,1,N,151,238,2,5.5,0.5,0.5,0,0,0.3,9.3,2.5
,2020-01-31 18:07:00,2020-01-31 18:42:00,,10.20,,,259,41,,33.41,5.5,0.5,0,0,0.3,39.71,0
